Time(hours),strain (ustrain),Stress ,Temperature,Humidity
0.002777778,2349.71177,6.02,17.8,64
0.003055556,2355.129569,6.02,17.8,64
0.003333333,2358.271005,6.02,17.8,64
0.003611111,2363.404402,6.02,17.8,64
0.003889167,2367.399426,6.02,17.8,64
0.004166667,2371.667368,6.02,17.8,64
0.004444444,2373.670431,6.02,17.8,64
0.0047225,2376.515981,6.02,17.8,64
0.005,2381.648612,6.02,17.8,64
0.005277778,2385.07445,6.02,17.8,64
0.005555555,2386.200574,6.02,17.8,64
0.005833333,2389.342392,6.02,17.8,64
0.006111111,2392.199426,6.02,17.8,64
0.006388889,2394.190622,6.02,17.8,64
0.006666667,2398.174163,6.02,17.8,64
0.006944444,2399.312153,6.02,17.8,64
0.007222222,2401.872919,6.02,17.8,64
0.0075,2402.453589,6.02,17.8,64
0.007777778,2405.867943,6.02,17.8,64
0.008055556,2407.006316,6.02,17.8,64
0.008333333,2409.282297,6.02,17.8,64
0.008611111,2411.854545,6.02,17.8,64
0.008888889,2413.561722,6.02,17.8,64
0.009166667,2414.984115,6.02,17.8,64
0.009444444,2416.691292,6.02,17.8,64
0.009722222,2419.263541,6.02,17.8,64
0.01,2420.401914,6.02,17.8,64
0.010277778,2421.539522,6.02,17.8,64
0.010555555,2422.677895,6.02,17.8,64
0.010833611,2424.966124,6.02,17.8,64
0.011111111,2426.672919,6.02,17.8,64
0.011388889,2427.230239,6.02,17.8,64
0.011666667,2428.083445,6.02,17.8,64
0.011944444,2429.518469,6.02,17.8,64
0.012222222,2430.656077,6.02,17.8,64
0.0125,2432.078469,6.02,17.8,64
0.012777778,2434.924019,6.02,17.8,64
0.013055555,2436.073876,6.02,17.8,64
0.013333333,2437.484402,6.02,17.8,64
0.013611111,2437.484402,6.02,17.8,64
0.013888889,2437.484402,6.02,17.8,64
0.014166667,2440.341435,6.02,17.8,64
0.014444444,2440.62622,6.02,17.8,64
0.014722222,2443.186603,6.02,17.8,64
0.015,2443.755789,6.02,17.8,64
0.015277778,2444.608995,6.02,17.8,64
0.015555556,2445.746986,6.02,17.8,64
0.015833333,2448.023732,6.02,17.8,64
0.016111111,2447.169761,6.02,17.8,64
0.016388889,2448.32,6.02,17.8,64
0.016666667,2448.32,6.02,17.8,64
0.016945,2451.165167,6.02,17.8,64
0.017222222,2452.290909,6.02,17.8,64
0.0175,2453.429282,6.02,17.8,64
0.017778056,2453.429282,6.02,17.8,64
0.018055555,2454.863923,6.02,17.8,64
0.018333333,2455.136077,6.02,17.8,64
0.018611389,2456.85512,6.02,17.8,64
0.018888889,2457.424306,6.02,17.8,64
0.019166667,2458.562679,6.02,17.8,64
0.019444444,2458.834833,6.02,17.8,64
0.019722222,2460.269474,6.02,17.8,64
0.02,2460.83866,6.02,17.8,64
0.020277778,2461.122679,6.02,17.8,64
0.020555555,2463.114641,6.02,17.8,64
0.020833333,2455.796746,6.02,17.8,64
0.021178055,2456.6511,6.02,17.8,64
0.021388889,2457.788708,6.02,17.8,64
0.021666667,2458.357895,6.02,17.8,64
0.021944444,2460.349474,6.02,17.8,64
0.022222222,2461.202679,6.02,17.8,64
0.0225,2461.783732,6.02,17.8,64
0.022777778,2460.633876,6.02,17.8,64
0.023056389,2460.930526,6.02,17.8,64
0.023333333,2463.490526,6.02,17.8,64
0.023611111,2463.194641,6.02,17.8,64
0.023889444,2465.185837,6.02,17.8,64
0.024166667,2465.755024,6.02,17.8,64
0.024444444,2466.620478,6.02,17.8,64
0.024722778,2468.327273,6.02,17.8,64
0.025,2467.746603,6.02,17.8,64
0.025277778,2468.327273,6.02,17.8,64
0.025555833,2468.327273,6.02,17.8,64
0.025833333,2470.887656,6.02,17.8,64
0.026111111,2471.445359,6.02,17.8,64
0.026388889,2471.17244,6.02,17.8,64
0.026666667,2472.026029,6.02,17.8,64
0.026944444,2470.887656,6.02,17.8,64
0.027222222,2473.164402,6.02,17.8,64
0.0275,2473.732823,6.02,17.8,64
0.027777778,2476.281722,6.02,17.8,64
0.028055555,2476.57799,6.02,17.8,64
0.028333333,2477.135311,6.02,17.8,64
0.028611111,2477.431579,6.02,17.8,64
0.028888889,2478.000766,6.02,17.8,64
0.0291675,2477.715981,6.02,17.8,64
0.029444444,2479.423158,6.02,17.8,64
0.029722222,2479.70756,6.02,17.8,64
0.030000556,2480.276746,6.02,17.8,64
0.030277778,2480.276746,6.02,17.8,64
0.030555556,2481.699139,6.02,17.8,64
0.030833889,2481.699139,6.02,17.8,64
0.031111111,2482.268325,6.02,17.8,64
0.031388889,2483.406316,6.02,17.8,64
0.031666944,2482.552727,6.02,17.8,64
0.031944444,2485.113493,6.02,17.8,64
0.032222222,2486.535885,6.02,17.8,64
